??,???_before,???_after,??????,??_before,??_after
斡,1,0,,,#その他
慰,1,0,やす,#天空 #慈愛,#天空 #慈愛
椅,1,0,,,#その他
井,1,0,い,,#その他
員,1,0,,#調和,#調和
迂,1,0,,,#その他
閏,1,0,,,#その他
云,1,0,,#調和,#調和
営,1,0,あきら,,#その他
謁,1,0,,,#その他
艶,1,0,,,#その他
薗,1,0,その,#調和,#調和
遠,1,0,おん、とお、とおく,,#その他
奥,1,0,おき,#水景,#水景
翁,1,0,,#調和,#調和
億,1,0,,#信念,#信念
化,1,0,,,#その他
稼,1,0,,,#その他
箇,1,0,,,#その他
皆,1,0,,#調和,#調和
該,1,0,,,#その他
鎧,1,0,よろい,,#その他
郭,1,0,,,#その他
恰,1,0,,#調和,#調和
葛,1,0,かつ、かずら,,#その他
蒲,1,0,かば,#自然,#自然
鎌,1,0,,,#その他
鴨,1,0,かも,,#その他
萱,1,0,かや,#自然,#自然
勘,1,0,さだ、さだのり、なり,,#その他
干,1,0,もと,,#その他
慣,1,0,なれ,,#その他
款,1,0,まこと,,#その他
漢,1,0,くに、とも,#水景,#水景
簡,1,0,あきら,,#その他
雁,1,0,かり,,#その他
嬉,1,0,,#幸福,#幸福
寄,1,0,より,#調和,#調和
岐,1,0,,#調和,#調和
機,1,0,のり,,#その他
議,1,0,,,#その他
及,1,0,いたる、つぎ、つぐ,,#その他
旧,1,0,もと,#調和,#調和
去,1,0,,,#その他
挙,1,0,,#調和,#調和
許,1,0,もと、ゆるす,#調和,#調和
魚,1,0,いな,#調和,#調和
競,1,0,,,#その他
蕎,1,0,,,#その他
饗,1,0,あきら,,#その他
業,1,0,,,#その他
曲,1,0,こと,#調和,#調和
具,1,0,,#調和,#調和
釧,1,0,くしろ,,#その他
群,1,0,,,#その他
係,1,0,,#調和,#調和
兄,1,0,あに、せ,,#その他
憩,1,0,やすみ,,#その他
計,1,0,,#知性,#知性
警,1,0,,,#その他
軽,1,0,,,#その他
懸,1,0,,,#その他
牽,1,0,,,#その他
犬,1,0,いぬ,,#その他
呉,1,0,,#調和,#調和
勾,1,0,,#調和,#調和
庚,1,0,,,#その他
攻,1,0,,#飛躍,#飛躍
肯,1,0,,,#その他
鉱,1,0,,,#その他
轟,1,0,くるま,,#その他
穀,1,0,よし,,#その他
酷,1,0,,,#その他
此,1,0,,,#その他
懇,1,0,ねんごろ,#信念,#信念
魂,1,0,たま,#信念,#信念
採,1,0,とる,#調和,#調和
祭,1,0,まつり,#調和,#調和
坂,1,0,さか,,#その他
堺,1,0,さかい,,#その他
鷺,1,0,さぎ,,#その他
刷,1,0,,,#その他
雑,1,0,,,#その他
皿,1,0,さら,,#その他
産,1,0,,,#その他
算,1,0,かず,,#その他
纂,1,0,あつむ,,#その他
氏,1,0,うじ,,#その他
