按 (Tags: #調和, Mean: おさえる。調べる。考える。)
迦 (Tags: #調和, Mean: 釈迦（しゃか）。　※名付けには慎重に)
臥 (Tags: #調和, Mean: ふす。寝る。休む。)
祇 (Tags: #調和, Mean: くにつかみ。地神。　※名付けには慎重に)
錫 (Tags: #幸福 #慈愛, Mean: すず。錫。錆びない金属。)
輯 (Tags: #慈愛, Mean: あつめる。やわらぐ。)
衿 (Tags: #調和, Mean: えり。こころ。)
盃 (Tags: #調和, Mean: さかずき。器。　※「杯」の異体字。)
者 (Tags: #調和, Mean: もの。人。※「者」の異体字。※名付けには珍しい)
卽 (Tags: #調和, Mean: つく。すなわち。すぐ。※「即」の旧字。)
校 (Tags: #調和, Mean: 校舎。ならう。正す。　※名付けには珍しい)
黛 (Tags: #自然, Mean: まゆずみ。黒色。)
酒 (Tags: #調和, Mean: さけ。　※名付けには慎重に)
息 (Tags: #調和, Mean: いき。むすこ。休む。)
案 (Tags: #調和, Mean: つくえ。考え。計画。　※名付けには珍しい)
郡 (Tags: #調和, Mean: こおり。区画。　※名付けには珍しい)
憐 (Tags: #慈愛, Mean: あわれむ。なさけ。　※「哀れみ」の印象があり不向き)
候 (Tags: #調和, Mean: うかがう。季節。きざし。)
橙 (Tags: #自然 #色彩, Mean: だいだい。ミカン科の果実。代々。)
澪 (Tags: #水景, Mean: みお。水路。航路。)
燎 (Tags: #天空, Mean: かがりび。燃える。)
蕾 (Tags: #色彩, Mean: つぼみ。花のつぼみ。)
燈 (Tags: #天空, Mean: ともしび。※「灯」の旧字体。)
龍 (Tags: #勇壮, Mean: りゅう。たつ。神獣。)
曉 (Tags: #知性, Mean: あかつき。夜明け。あきらか。※「暁」の旧字体。)
勳 (Tags: #飛躍, Mean: いさお。てがら。※「勲」の旧字体。)
帯 (Tags: #調和, Mean: おび。おびる。つなぐ。※旧字「帶」も同様。)
戰 (Tags: #勇壮 #自然, Mean: たたかう。あらそう。※「戦」の旧字体。※名付けに不適切)
燒 (Tags: #自然, Mean: やく。もえる。※「焼」の旧字体。※名付けに不適切)
託 (Tags: #調和, Mean: たくす。あずける。寄せる。)
衞 (Tags: #勇壮, Mean: まもる。防衛。※「衛」の異体字。)
畔 (Tags: #調和, Mean: ほとり。あぜみち。境。)
翁 (Tags: #調和, Mean: おきな。年老いた男性。)
索 (Tags: #調和, Mean: なわ。たずねる。　※名付けには珍しい)
器 (Tags: #知性, Mean: うつわ。才能。※「器」の異体字。)
酌 (Tags: #調和, Mean: くむ。酒をつぐ。おしはかる。　※名付けには慎重に)
橫 (Tags: #信念, Mean: よこ。※「横」の旧字体。※苗字の印象が強く不向き)
賴 (Tags: #幸福, Mean: たよる。信頼。※「頼」の旧字体。)
曆 (Tags: #天空, Mean: こよみ。※「暦」の旧字体。)
秩 (Tags: #調和, Mean: のり。きまり。順序。)
錄 (Tags: #知性, Mean: しるす。※「録」の旧字体。※事務的すぎて不向き)
頰 (Tags: #慈愛, Mean: ほお。※解剖学的すぎて不適切)
講 (Tags: #知性, Mean: とく。ならう。あつまる。※事務的すぎて不向き)
