2100:播 (Tags: #調和, Mean: まく。広める。　※事務的すぎて不向き)
2101:篇 (Tags: #調和, Mean: ふだ。書物。　※事務的すぎて不向き)
2102:飽 (Tags: #飛躍, Mean: あきる。みち足りる。　※名付けに不向き)
2103:劉 (Tags: #調和, Mean: ころす。武器。　※字義が不穏、かつ苗字の印象が強く不向き)
2104:魯 (Tags: #調和, Mean: おろか。にぶい。　※名付けに不適切)
2105:零 (Tags: #水景, Mean: ぜろ。しずく。おちる。　※「零落」の印象があり不向き)
2106:廉 (Tags: #水景, Mean: いさぎよい。安。かど。)
2107:澁 (Tags: #調和, Mean: しぶ。しぶい。※「渋」の旧字体。※不向き)
2108:價 (Tags: #調和, Mean: あたい。ねだん。※「価」の旧字体。※不向き)
2109:虞 (Tags: #幸福, Mean: おそれ。心配。あやぶむ。　※名付けに不適切)
2110:儉 (Tags: #調和, Mean: つましい。※「倹」の旧字体。※不向き)
2111:彈 (Tags: #調和, Mean: たま。はじく。※「弾」の旧字体。※不向き)
2112:樣 (Tags: #調和, Mean: さま。かたち。※「様」の旧字体。※不向き)
2113:寛 (Tags: #天空 #飛躍, Mean: ひろい。ゆったり。くつろぐ。)
2114:賣 (Tags: #調和, Mean: うる。商う。※「売」の旧字体。※事務的すぎて不向き)
2115:傑 (Tags: #品格 #飛躍, Mean: すぐれる。ひいでる。)
2116:醉 (Tags: #調和, Mean: よう。※「酔」の旧字体。※名付けに不適切)
2117:献 (Tags: #知性, Mean: ささげる。たてまつる。)
2118:髮 (Tags: #調和, Mean: かみ。頭髪。※「髪」の旧字体。※解剖学的すぎて不適切)
2119:溝 (Tags: #天空, Mean: みぞ。　※名付けに不向き)
2120:嗣 (Tags: #品格 #飛躍, Mean: つぐ。継承する。あとつぎ。)
2121:酬 (Tags: #品格, Mean: むくいる。かえす。　※事務的すぎて不向き)
2122:愁 (Tags: #信念, Mean: うれえる。かなしみ。　※名付けに不適切)
2123:奨 (Tags: #慈愛, Mean: すすめる。励ます。)
2124:層 (Tags: #調和, Mean: かさなり。※「層」の異体字。※事務的すぎて不向き)
2125:践 (Tags: #飛躍, Mean: ふむ。行う。実践する。)
2126:增 (Tags: #調和, Mean: ふえる。※「増」の旧字体。※事務的すぎて不向き)
2127:瘦 (Tags: #調和, Mean: やせる。※名付けに不適切)
2128:燃 (Tags: #調和, Mean: もえる。火がつく。　※不穏・不安定なため不向き)
2129:縦 (Tags: #調和, Mean: たて。ほしいまま。　※事務的・卑俗なため不向き)
2130:督 (Tags: #品格 #天空, Mean: みる。ひきいる。正す。)
2131:漠 (Tags: #自然 #飛躍, Mean: ひろい。すなはら。とりとめがない。　※名付けに不向き)
