1900:喩 (Tags: #幸福 #知性, Mean: たとえる。さとす。　※事務的すぎて不向き)
1901:湧 (Tags: #飛躍, Mean: わく。湧き出る。)
1902:綱 (Tags: #調和, Mean: つな。大綱。根本。絆。)
1903:渥 (Tags: #色彩, Mean: あつい。うるおう。手厚い。)
1904:粥 (Tags: #天空, Mean: かゆ。ひさぐ。　※名付けに不向き)
1905:瑛 (Tags: #天空 #色彩, Mean: 美しい石。玉の光。)
1906:酵 (Tags: #調和, Mean: こうじ。わく。　※科学的すぎて不向き)
1907:淵 (Tags: #水景 #知性, Mean: ふち。深い水たまり。奥深い。)
1908:凱 (Tags: #幸福 #慈愛, Mean: かちどき。やわらぐ。)
1909:遭 (Tags: #調和, Mean: あう。災いにあう。　※名付けに不適切)
1910:碑 (Tags: #調和, Mean: いしぶみ。石碑。　※「墓碑」の印象があり不向き)
1911:萱 (Tags: #自然, Mean: かや。カヤ（植物）。　※名付けには珍しい)
1912:膜 (Tags: #調和, Mean: まく。薄いかわ。　※解剖学的すぎて不適切)
1913:稀 (Tags: #飛躍, Mean: まれ。めずらしい。非常に。)
1914:葵 (Tags: #自然, Mean: あおい。太陽を仰ぐ植物。)
1915:卿 (Tags: #品格, Mean: きょう。貴族の称号。)
1916:喬 (Tags: #自然 #飛躍, Mean: たかい。高くそびえる。すぐれる。)
1917:欽 (Tags: #信念 #品格, Mean: つつしむ。敬う。)
1918:誘 (Tags: #調和, Mean: さそう。導く。あざむく。　※不穏な意を含むため不向き)
1919:腔 (Tags: #天空, Mean: からだのあな。　※解剖学的すぎて不適切)
1920:漏 (Tags: #調和, Mean: もれる。もらす。　※「欠陥」の印象があり不適切)
1921:寡 (Tags: #調和, Mean: すくない。やもめ。　※名付けに不適切)
1922:喧 (Tags: #飛躍, Mean: やかましい。かまびすしい。　※名付けに不適切)
1923:硯 (Tags: #知性, Mean: すずり。墨をする石。)
1924:絢 (Tags: #色彩, Mean: 織物の美しい模様。あや。)
1925:遮 (Tags: #調和, Mean: さえぎる。遮断する。　※名付けに不適切)
1926:駄 (Tags: #調和, Mean: 荷物を負う馬。つまらない。　※名付けに不適切)
1927:嫡 (Tags: #調和, Mean: あとつぎ。正統。　※役割を限定しすぎるため不向き)
1928:萩 (Tags: #自然, Mean: はぎ。秋の七草の一つ。)
1929:葺 (Tags: #自然, Mean: ふく。屋根をふく。修繕する。　※名付けに不向き)
1930:竣 (Tags: #飛躍, Mean: おわる。とげる。成し遂げる。)
1931:閏 (Tags: #天空 #飛躍, Mean: うるう。余り。正統でない。　※名付けに不向き)
1932:漬 (Tags: #調和, Mean: つける。ひたす。　※事務的すぎて不向き)
