1800:項 (Tags: #天空, Mean: うなじ。項目。　※事務的すぎて不向き)
1801:紫 (Tags: #色彩, Mean: むらさき。高貴な色。)
1802:酪 (Tags: #調和, Mean: ちち。牛の乳。　※職業的すぎて不向き)
1803:賄 (Tags: #調和, Mean: まかなう。おくる。　※不穏（贈賄等）なため不適切)
1804:殖 (Tags: #自然, Mean: ふえる。ふやす。うめる。)
1805:尋 (Tags: #知性, Mean: たずねる。長さの単位（ひろ）。)
1806:訴 (Tags: #勇壮 #天空, Mean: うったえる。　※名付けに不適切)
1807:毀 (Tags: #調和, Mean: こわす。そしる。　※名付けに不適切)
1808:嗅 (Tags: #調和, Mean: かぐ。鼻でかぐ。　※生理的すぎて不向き)
1809:僅 (Tags: #調和, Mean: わずか。すこし。　※事務的すぎて不向き)
1810:嫉 (Tags: #調和, Mean: ねたむ。そねむ。　※名付けに不適切)
1811:渡 (Tags: #水景, Mean: わたる。渡る。渡す。)
1812:腫 (Tags: #調和, Mean: はれる。できもの。　※名付けに不適切)
1813:腎 (Tags: #調和, Mean: からだの部位（腎臓）。　※解剖学的すぎて不適切)
1814:裾 (Tags: #調和, Mean: すそ。着物の端。　※事務的・卑俗なため不向き)
1815:煎 (Tags: #調和, Mean: いる。にる。煎じる。　※事務的すぎて不向き)
1816:腺 (Tags: #調和, Mean: からだの分泌器官。　※解剖学的すぎて不適切)
1817:溺 (Tags: #調和, Mean: おぼれる。沈む。　※名付けに不適切)
1818:雄 (Tags: #品格 #飛躍, Mean: おす。すぐれる。力強い。)
1819:蜂 (Tags: #調和, Mean: はち。昆虫の名。　※名付けには珍しい)
1820:惑 (Tags: #知性, Mean: まどう。迷う。　※名付けに不適切)
1821:慄 (Tags: #調和, Mean: ふるえる。おそれる。　※名付けに不適切)
1822:詠 (Tags: #品格 #知性, Mean: よむ。詠む。詩歌を作る。)
1823:敢 (Tags: #信念, Mean: あえて。いさぎよい。強い。)
1824:賂 (Tags: #調和, Mean: まいない。おくりもの。　※「贈賄」等の不穏な印象があり不適切)
1825:喚 (Tags: #天空, Mean: よぶ。叫ぶ。喚起する。　※「叫ぶ」の意が強いため不向き)
1826:嘩 (Tags: #調和, Mean: やかましい。さわぐ。　※「喧嘩」の印象が強いため不適切)
1827:塙 (Tags: #調和, Mean: はなわ。かたい土。　※苗字（地名）の印象が強く不向き)
1828:鳩 (Tags: #調和, Mean: はと。鳥の名。あつまる。)
1829:遇 (Tags: #信念, Mean: あう。もてなす。あしらい。　※事務的すぎて不向き)
1830:禽 (Tags: #調和, Mean: とり。いけどる。　※「猛禽」等の印象があり不向き)
1831:硬 (Tags: #勇壮, Mean: かたい。硬い。強い。　※「強情」の印象があるため慎重に)
1832:慌 (Tags: #品格 #天空, Mean: あわてる。うろたえる。　※名付けに不適切)
1833:跨 (Tags: #調和, Mean: またぐ。こえる。　※生理的・卑俗なため不向き)
1834:軸 (Tags: #勇壮 #水景, Mean: くるまどめ。軸。中心。)
1835:嵯 (Tags: #調和, Mean: やまが高い。険しい。)
1836:晶 (Tags: #天空, Mean: あきらか。光り輝く。水晶。)
1837:掌 (Tags: #信念 #品格, Mean: てのひら。つかさどる。)
1838:裟 (Tags: #調和, Mean: けさ。※「袈」とセットで使われるため不向き)
1839:遂 (Tags: #飛躍, Mean: とげる。成し遂げる。)
1840:随 (Tags: #信念, Mean: したがう。まま。)
1841:蒐 (Tags: #調和, Mean: あつめる。さがす。　※事務的すぎて不向き)
1842:遁 (Tags: #調和, Mean: のがれる。しりぞく。　※名付けに不適切)
1843:超 (Tags: #品格 #飛躍, Mean: こえる。抜け出る。すぐれる。)
1844:牒 (Tags: #調和, Mean: ふだ。しるす。　※事務的すぎて不向き)
1845:蛮 (Tags: #勇壮, Mean: えびす。あらあらしい。　※名付けに不適切)
1846:詫 (Tags: #調和, Mean: わびる。あやまる。　※名付けに不適切)
