漢字,名のり_before,名のり_after,分類_before,分類_after,不適切_before,不適切_after
入,,い いり しお,,#その他,1,0
卜,うら,うら,,#その他,1,0
体,なり み みる もと,なり み みる もと,,#その他,1,0
犬,,いぬ,,#その他,1,0
手,,た て,,#その他,1,0
切,,きり,,#その他,1,0
父,,たか のり,,#その他,1,0
毛,あつ,あつ,,#その他,1,0
化,のり,のり,,#その他,1,0
氏,,うじ,,#その他,1,0
井,きよ,きよ,,#その他,1,0
兄,,あに せ,,#その他,1,0
半,なか なからい,なか なからい,#幸福,#幸福,1,0
用,ちか もち,ちか もち,#知性,#知性,1,0
去,なる,なる,,#その他,1,0
班,つら なか ひとし,つら なか ひとし,,#その他,1,0
産,ただ むすび,ただ むすび,,#その他,1,0
占,,うら,#知性,#知性,1,0
他,ひと,ひと,,#その他,1,0
耳,み,み,,#その他,1,0
刷,きよ,きよ,,#その他,1,0
退,のく,のく,,#その他,1,0
員,さだ,さだ,#調和,#調和,1,0
値,あき あきら,あき あきら,,#その他,1,0
被,かず けさ まつ,かず けさ まつ,,#その他,1,0
畝,,せ,#調和,#調和,1,0
攻,おさむ,おさむ,#飛躍,#飛躍,1,0
停,とどむ,とどむ,,#その他,1,0
猪,,い いの,,#その他,1,0
歯,かた とし,かた とし,,#その他,1,0
衆,あつむ とも ひろ もり もろ,あつむ とも ひろ もり もろ,,#その他,1,0
補,さだ すけ たすく,さだ すけ たすく,,#その他,1,0
猪,,い いの,,#その他,1,0
数,のり ひら や,のり ひら や,,#その他,1,0
農,あつ あつし たか たみ つとむ とき とよ みのり みのる,あつ あつし たか たみ つとむ とき とよ みのり みのる,,#その他,1,0
該,かぬ かね,かぬ かね,,#その他,1,0
肥,うま くま とし とみ とも ふとる みつ ゆたか,うま くま とし とみ とも ふとる みつ ゆたか,#幸福 #飛躍,#幸福 #飛躍,1,0
算,とも はかる,とも はかる,,#その他,1,0
慣,,なれ,,#その他,1,0
銅,かね,かね,,#その他,1,0
謁,つく ゆく,つく ゆく,,#その他,1,0
曖,あ,あ,,#その他,1,0
類,とも なお なし より,とも なお なし より,,#その他,1,0
離,あき あきら つら,あき あきら つら,,#その他,1,0
窓,,まど,#調和,#調和,1,0
刹,くに,くに,#知性,#知性,1,0
阜,あつ あつし たか たかし とおる ゆたか,あつ あつし たか たかし とおる ゆたか,#飛躍,#飛躍,1,0
及,,いたる つぎ つぐ,,#その他,1,0
処,,すみ なり,,#その他,1,0
坦,たいら ひと ひろ,たいら ひと ひろ,,#その他,1,0
丙,あき あきら え,あき あきら え,,#その他,1,0
兒,,こ,,#その他,1,0
計,かず かずい かずえ かずお かずし,かず かずい かずえ かずお かずし,#知性,#知性,1,0
首,おびと かみ さき はじめ,おびと かみ さき はじめ,#品格,#品格,1,0
食,あき あきら うけ くら け みけ,あき あきら うけ くら け みけ,,#その他,1,0
吹,かぜ ふき ふく,かぜ ふき ふく,,#その他,1,0
単,いち ただ,いち ただ,,#その他,1,0
係,たえ,たえ,#調和,#調和,1,0
背,しろ のり,しろ のり,,#その他,1,0
皆,とも み みち,とも み みち,#調和,#調和,1,0
是,すなお ただし つな ゆき よし,すなお ただし つな ゆき よし,#品格,#品格,1,0
耐,しのぶ たゆる つよし とう とおる,しのぶ たゆる つよし とう とおる,,#その他,1,0
堤,,つつみ,,#その他,1,0
雁,か,か,,#その他,1,0
楼,ろ,ろ,,#その他,1,0
轟,こう,こう,,#その他,1,0
勾,にお まがり,にお まがり,#調和,#調和,1,0
云,おき これ とも ひと,おき これ とも ひと,#調和,#調和,1,0
祢,,ね,#品格,#品格,1,0
此,この,この,,#その他,1,0
恆,,つね ひさ,,#その他,1,0
配,あつ とも,あつ とも,#調和,#調和,1,0
迂,すすむ とお ゆき,すすむ とお ゆき,,#その他,1,0
孫,,まご,#自然,#自然,1,0
卒,たか,たか,,#その他,1,0
留,たね と とめ ひさ,たね と とめ ひさ,#調和,#調和,1,0
迫,とお,とお,,#その他,1,0
其,その とき もと,その とき もと,#調和,#調和,1,0
隻,うく たか,うく たか,#調和,#調和,1,0
恰,きょう こ,きょう こ,#調和,#調和,1,0
従,,より,,#その他,1,0
除,きよ さる のき,きよ さる のき,,#その他,1,0
匿,のく,のく,,#その他,1,0
倣,より,より,,#その他,1,0
柴,,しば,#自然,#自然,1,0
逝,ゆき,ゆき,,#その他,1,0
圃,その,その,#自然,#自然,1,0
乘,のり,のり,,#その他,1,0
神,,かみ こう しん,,#その他,1,0
祝,,いわい はじめ のり,,#その他,1,0
涉,,わたる,,#その他,1,0
転,ひろ,ひろ,,#その他,1,0
部,きつ もと,きつ もと,,#その他,1,0
術,,みち,#知性,#知性,1,0
彫,,えみ ほる,#調和,#調和,1,0
推,,すすむ,#知性,#知性,1,0
牽,くる とき とし ひき,くる とき とし ひき,,#その他,1,0
雀,す すず わか,す すず わか,,#その他,1,0
逗,すみ,すみ,,#その他,1,0
釧,,くしろ,,#その他,1,0
軽,かる とし,かる とし,,#その他,1,0
庶,,もる もろ,#飛躍,#飛躍,1,0
眺,,ながむ,#自然,#自然,1,0
堀,,ほり,,#その他,1,0
淀,,よど,,#その他,1,0
畢,,あきら,#幸福,#幸福,1,0
脹,はる,はる,,#その他,1,0
琵,ひ,ひ,,#その他,1,0
著,,あき あきら しげ つぐ,,#その他,1,0
視,,み みる,,#その他,1,0
鉱,かね ひろ ひろし,かね ひろ ひろし,,#その他,1,0
蒸,すすむ つぐ つまき,すすむ つぐ つまき,,#その他,1,0
測,ひろ ひろし,ひろ ひろし,#信念,#信念,1,0
奥,,おき,#水景,#水景,1,0
殖,,しげる,,#その他,1,0
款,,まこと,,#その他,1,0
循,,したがう,,#その他,1,0
筒,まる,まる,#自然,#自然,1,0
椅,あづ あづさ よし,あづ あづさ よし,,#その他,1,0
箇,かず とも,かず とも,,#その他,1,0
需,まち みつ もと もとむ もとめ,まち みつ もと もとむ もとめ,,#その他,1,0
摘,つみ つむ づみ づむ,つみ つむ づみ づむ,,#その他,1,0
萱,ただ まさ,ただ まさ,#自然,#自然,1,0
閏,うる,うる,,#その他,1,0
箋,ふみ,ふみ,,#その他,1,0
貌,かた すがた とお,かた すがた とお,,#その他,1,0
斡,まる,まる,,#その他,1,0
爾,あきら ちか ちかし み みつる,あきら ちか ちかし み みつる,,#その他,1,0
銑,さね てつ,さね てつ,,#その他,1,0
漕,,こぐ,,#その他,1,0
爲,,なり なる,,#その他,1,0
遠,,おん とお とおく,,#その他,1,0
業,なり のり,なり のり,,#その他,1,0
試,もち,もち,,#その他,1,0
編,あみ よし,あみ よし,,#その他,1,0
