蒲 (Tags: #自然, Mean: がま。植物の名。　※苗字や地名の印象が強く慎重に)
楓 (Tags: #自然, Mean: かえで。楓（ふう）。美しい紅葉。)
縣 (Tags: #調和, Mean: あがた。役所。※「県」の旧字体。※事務的すぎて不向き)
傭 (Tags: #品格, Mean: やとう。　※事務的（傭兵等）すぎて不向き)
楊 (Tags: #自然, Mean: やなぎ。楊（かわやなぎ）。しなやか。)
蓉 (Tags: #色彩, Mean: はす。芙蓉（ふよう）。美しく気高い。)
溜 (Tags: #水景, Mean: たまる。したたる。　※不穏（溜息等）なため不向き)
稜 (Tags: #品格 #自然, Mean: かど。いつ。山の背。)
默 (Tags: #調和, Mean: だまる。しずか。※「黙」の旧字体。※不穏な印象があり不向き)
蓮 (Tags: #色彩, Mean: はす。泥中から清らかに咲く花。)
險 (Tags: #調和, Mean: けわしい。あやうい。※「険」の旧字体。※名付けに不適切)
暉 (Tags: #天空, Mean: かがやく。光。太陽の光。)
靜 (Tags: #調和, Mean: しずか。安らか。※「静」の旧字体。)
滉 (Tags: #水景 #飛躍, Mean: ひろい。水が深く広い様。)
瑶 (Tags: #色彩, Mean: 美しい玉。玉のような石。)
煌 (Tags: #天空 #色彩, Mean: かがやく。きらめく。火が盛ん。)
詢 (Tags: #信念 #品格, Mean: とう。たずねる。まこと。)
頌 (Tags: #品格 #幸福, Mean: ほめる。たたえる。徳を記した歌。)
諸 (Tags: #調和, Mean: もろもろ。※「諸」の異体字。※事務的すぎて不向き)
謁 (Tags: #調和, Mean: まみえる。※「謁」の異体字。※事務的すぎて不向き)
圓 (Tags: #幸福 #慈愛, Mean: まるい。円。円満。※「円」の旧字体。)
奧 (Tags: #水景, Mean: おく。深い。※「奥」の旧字体。※名付けには重すぎる)
傳 (Tags: #飛躍, Mean: つたえる。つたわる。※「伝」の旧字体。)
祿 (Tags: #幸福 #慈愛, Mean: さいわい。ふち。※「禄」の旧字体。)
愼 (Tags: #信念, Mean: まこと。つつしむ。しずか。※「慎」の旧字体。)
歷 (Tags: #調和, Mean: へる。あきらか。※「歴」の旧字体。※事務的すぎて不向き)
與 (Tags: #慈愛 #調和, Mean: あたえる。くみする。ともに。※「与」の旧字体。　※不向き)
縮 (Tags: #調和, Mean: ちぢむ。※名付けに不適切)
