鎌 (Tags: #調和, Mean: かま。刃物。　※刃物・地名の印象が強く不向き)
襖 (Tags: #調和, Mean: ふすま。わきあけ。　※日常的（建具）すぎて不向き)
蹟 (Tags: #調和, Mean: あと。足跡。　※事務的すぎて不向き)
雛 (Tags: #調和, Mean: ひな。ひよこ。人形。　※日常的すぎて不向き)
慢 (Tags: #信念 #飛躍, Mean: あざける。おごる。　※名付けに不適切)
叢 (Tags: #調和, Mean: くさむら。むらがる。　※事務的・卑俗なため不向き)
踊 (Tags: #品格 #飛躍, Mean: おどる。跳ねる。　※躍動感はあるが名付けには珍しい)
暦 (Tags: #天空, Mean: こよみ。月日。時の流れ。)
儲 (Tags: #調和, Mean: もうける。たくわえる。　※商業的すぎて不向き)
鵜 (Tags: #調和, Mean: う。鳥の名。　※動物的すぎて不向き)
鞭 (Tags: #調和, Mean: むち。うつ。　※不穏（暴力等）なため不適切)
麿 (Tags: #調和, Mean: まろ。自分。)
魂 (Tags: #信念, Mean: たましい。こころ。　※「霊的」な印象が強いため慎重に)
藥 (Tags: #調和, Mean: くすり。※「薬」の旧字体。※医学的すぎて不向き)
憎 (Tags: #信念, Mean: にくむ。うらむ。　※名付けに不適切)
藏 (Tags: #調和, Mean: くら。※「蔵」の旧字体。)
鎭 (Tags: #調和, Mean: しずめる。※「鎮」の旧字体。)
漂 (Tags: #飛躍, Mean: ただよう。流れる。　※不安定なため不向き)
慕 (Tags: #信念, Mean: したう。あこがれる。愛する。)
墨 (Tags: #知性, Mean: すみ。黒色。書画。)
醬 (Tags: #調和, Mean: ひしお。※「醤」の旧字体。※日常的すぎて不向き)
臓 (Tags: #調和, Mean: はらわた。※解剖学的すぎて不適切)
繰 (Tags: #調和, Mean: くる。あやつる。※事務的すぎて不向き)
爆 (Tags: #調和, Mean: はぜる。やく。※不穏・破壊的なため不適切)
酷 (Tags: #慈愛, Mean: むごい。きびしい。　※名付けに不適切)
漆 (Tags: #水景 #自然, Mean: うるし。漆器。　※事務的・物質的すぎて不向き)
鶏 (Tags: #調和, Mean: にわとり。鳥の名。　※動物的すぎて不向き)
銃 (Tags: #勇壮, Mean: つつ。武器。　※名付けに不適切)
塾 (Tags: #知性, Mean: まなびや。塾。　※事務的すぎて不向き)
緒 (Tags: #伝統 #信念, Mean: お。ひも。物事の始まり。つながり。)
彰 (Tags: #品格 #知性, Mean: あきらか。あらわす。褒める。)
誓 (Tags: #天空, Mean: ちかう。誓い。固く約束する。)
漸 (Tags: #水景, Mean: ようやく。すすむ。しみる。　※事務的・不安定で不向き)
璽 (Tags: #調和, Mean: たま。天子の印。※重厚すぎて不向き)
蹴 (Tags: #調和, Mean: ける。ふむ。　※攻撃的なため不適切)
蟹 (Tags: #調和, Mean: かに。　※動物的・卑俗なため不適切)
櫛 (Tags: #調和, Mean: くし。髪を整える道具。※事務的すぎて不向き)
