漢字,名のり_before,名のり_after,分類_before,分類_after,不適切_before,不適切_after
入,,い いり しお,,#その他,1,0
丁,,あつ あつし たけ たけし よろぼう,#品格,#品格,0,0
上,,あが あがり たか たかし のぼ のぼる,#品格 #飛躍,#品格 #飛躍,0,0
川,,かわ,#水景,#水景,0,0
土,,つち はに ひじ,#自然,#自然,0,0
必,,さだ ひさ,#信念,#信念,0,0
兆,,とき よし,#希望 #飛躍,#希望 #飛躍,0,0
改,,あらた,#信念,#信念,0,0
犬,,いぬ,,#その他,1,0
手,,た て,,#その他,1,0
中,,あたる なか みつ,#調和,#調和,0,0
郞,,いら お すけ,#調和,#調和,0,0
戸,,と,#調和,#調和,0,0
切,,きり,,#その他,1,0
内,,うち,#調和,#調和,0,0
父,,たか のり,,#その他,1,0
方,,かた まさ みち,#信念 #品格,#信念 #品格,0,0
氏,,うじ,,#その他,1,0
固,,かた まこと,#信念 #品格,#信念 #品格,0,0
樫,,かし,#自然,#自然,0,0
檜,,ひのき,#自然,#自然,0,0
西,,あき にし,#調和,#調和,0,0
身,,み,#勇壮,#勇壮,0,0
本,,もと,#自然,#自然,0,0
兄,,あに せ,,#その他,1,0
芦,,あし よし,#自然,#自然,0,0
畠,,はた はたけ,#調和,#調和,0,0
船,,ふね,#調和,#調和,0,0
舵,,かじ,#調和,#調和,0,0
氷,,きよ ひ,#自然 #水景,#自然 #水景,0,0
扉,,とびら,#調和,#調和,0,0
煉,,ねる,#調和,#調和,0,0
滴,,しずく,#調和,#調和,0,0
融,,あきら とおる,#調和,#調和,0,0
辺,,あたり べ なべ,#自然,#自然,0,0
条,,えだ,#知性,#知性,0,0
荻,,おぎ,#自然,#自然,0,0
幼,,おさ わか,#慈愛,#慈愛,0,0
占,,うら,#知性,#知性,1,0
巳,,み,#調和,#調和,0,0
今,,いま,#希望,#希望,0,0
汀,,なぎさ,#水景 #自然,#水景 #自然,0,0
丑,,うし,#伝統,#伝統,0,0
田,,た,#自然,#自然,0,0
池,,いけ,#自然 #水景,#自然 #水景,0,0
式,,のり,#伝統,#伝統,0,0
州,,くに,#水景,#水景,0,0
全,,あきら たけ たけし まさ,#調和 #飛躍,#調和 #飛躍,0,0
羊,,ひつじ,#自然 #幸福,#自然 #幸福,0,0
米,,こめ よね,#自然,#自然,0,0
伝,,つた つとう,#伝統,#伝統,0,0
灯,,とも,#色彩 #希望,#色彩 #希望,0,0
旨,,むね,#調和,#調和,0,0
亥,,い,#調和,#調和,0,0
存,,あり なが まさ,#慈愛,#慈愛,0,0
住,,ずみ,#調和,#調和,0,0
仰,,あきら たかし,#品格,#品格,0,0
芝,,しば,#自然 #幸福,#自然 #幸福,0,0
往,,みち ゆき,#調和,#調和,0,0
帆,,ほ,#勇壮 #水景,#勇壮 #水景,0,0
朴,,なお ほう,#自然,#自然,0,0
赤,,あか,#色彩,#色彩,0,0
近,,ちか,#信念,#信念,0,0
垣,,かき,#調和,#調和,0,0
声,,こえ,#品格,#品格,0,0
畝,,せ,#調和,#調和,1,0
峨,,たかし,#調和,#調和,0,0
啄,,たむ,#調和,#調和,0,0
沢,,さわ,#慈愛 #水景,#慈愛 #水景,0,0
伴,,とも,#調和,#調和,0,0
杉,,すぎ,#自然,#自然,0,0
伯,,たか のり,#品格,#品格,0,0
杏,,あん,#自然,#自然,0,0
舷,,とおる,#水景,#水景,0,0
猪,,い いの,,#その他,1,0
杜,,もり,#自然,#自然,0,0
壯,,さかん たけ たけし まさ,#勇壮 #飛躍,#勇壮 #飛躍,0,0
步,,あゆみ あゆむ,#飛躍,#飛躍,0,0
岩,,いわ,#自然,#自然,0,0
猪,,い いの,,#その他,1,0
易,,やす,#慈愛,#慈愛,0,0
河,,かわ,#水景,#水景,0,0
慣,,なれ,,#その他,1,0
窓,,まど,#調和,#調和,1,0
岡,,おか,#自然,#自然,0,0
及,,いたる つぎ つぐ,,#その他,1,0
火,,ひ ほ,#調和,#調和,0,0
引,,ひき,#調和,#調和,0,0
末,,すえ,#調和,#調和,0,0
処,,すみ なり,,#その他,1,0
朋,,とも,#知性 #調和,#知性 #調和,0,0
亞,,つぐ,#調和,#調和,0,0
